State,medicaid_enrollees,year,month
Alabama,1047882,2014,10
Alabama,1050054,2015,10
Alabama,1031957,2016,10
Alabama,1019025,2017,10
Alabama,1030845,2018,10
Alabama,1048875,2019,10
Alabama,1123576,2020,10
Alabama,1222711,2021,10
Alabama,1309952,2022,10
Alabama,1274106,2023,10
Alabama,1088640,2024,10
Alaska,121405,2014,10
Alaska,133992,2015,10
Alaska,171261,2016,10
Alaska,193073,2017,10
Alaska,206088,2018,10
Alaska,213560,2019,10
Alaska,229167,2020,10
Alaska,245702,2021,10
Alaska,256067,2022,10
Alaska,244138,2023,10
Alaska,244733,2024,10
American Samoa,36726,2014,10
American Samoa,40517,2015,10
American Samoa,41214,2016,10
American Samoa,27898,2017,10
American Samoa,28183,2018,10
American Samoa,35002,2019,10
American Samoa,37756,2020,10
American Samoa,31434,2021,10
American Samoa,33887,2022,10
American Samoa,33746,2023,10
American Samoa,31150,2024,10
Arizona,1722629,2014,10
Arizona,1860481,2015,10
Arizona,1936255,2016,10
Arizona,1937561,2017,10
Arizona,1872908,2018,10
Arizona,1892617,2019,10
Arizona,2062190,2020,10
Arizona,2254575,2021,10
Arizona,2411219,2022,10
Arizona,2189701,2023,10
Arizona,2119531,2024,10
Arkansas,848322,2014,10
Arkansas,960570,2015,10
Arkansas,952156,2016,10
Arkansas,936199,2017,10
Arkansas,872212,2018,10
Arkansas,834710,2019,10
Arkansas,902991,2020,10
Arkansas,983802,2021,10
Arkansas,1056045,2022,10
Arkansas,833064,2023,10
Arkansas,803252,2024,10
California,14140560,2014,10
California,13189670,2015,10
California,12139096,2016,10
California,13184199,2017,10
California,12875160,2018,10
California,12533958,2019,10
California,13069995,2020,10
California,13969126,2021,10
California,14899528,2022,10
California,15027928,2023,10
California,14927139,2024,10
Colorado,1120120,2014,10
Colorado,1272951,2015,10
Colorado,1332134,2016,10
Colorado,1319016,2017,10
Colorado,1288644,2018,10
Colorado,1221210,2019,10
Colorado,1371253,2020,10
Colorado,1541034,2021,10
Colorado,1661428,2022,10
Colorado,1514567,2023,10
Colorado,1182033,2024,10
Connecticut,850887,2014,10
Connecticut,817242,2015,10
Connecticut,887860,2016,10
Connecticut,903285,2017,10
Connecticut,935416,2018,10
Connecticut,948646,2019,10
Connecticut,1022058,2020,10
Connecticut,1125052,2021,10
Connecticut,1154028,2022,10
Connecticut,1112775,2023,10
Connecticut,1085012,2024,10
Delaware,201892,2014,10
Delaware,211254,2015,10
Delaware,202175,2016,10
Delaware,210771,2017,10
Delaware,219077,2018,10
Delaware,212362,2019,10
Delaware,234170,2020,10
Delaware,261234,2021,10
Delaware,286239,2022,10
Delaware,281904,2023,10
Delaware,234480,2024,10
District of Columbia,242299,2014,10
District of Columbia,239052,2015,10
District of Columbia,246598,2016,10
District of Columbia,262665,2017,10
District of Columbia,260411,2018,10
District of Columbia,262638,2019,10
District of Columbia,257048,2020,10
District of Columbia,274064,2021,10
District of Columbia,288953,2022,10
District of Columbia,287494,2023,10
District of Columbia,263797,2024,10
Florida,3954371,2014,10
Florida,4016200,2015,10
Florida,4054970,2016,10
Florida,4032834,2017,10
Florida,3878529,2018,10
Florida,3798710,2019,10
Florida,4403660,2020,10
Florida,5004984,2021,10
Florida,5455815,2022,10
Florida,5144491,2023,10
Florida,4194988,2024,10
Georgia,1791849,2014,10
Georgia,1860839,2015,10
Georgia,1835385,2016,10
Georgia,1935794,2017,10
Georgia,1942580,2018,10
Georgia,2041420,2019,10
Georgia,2182653,2020,10
Georgia,2387406,2021,10
Georgia,2525872,2022,10
Georgia,2427413,2023,10
Georgia,2175729,2024,10
Guam,36966,2014,10
Guam,36315,2015,10
Guam,35950,2016,10
Guam,36146,2017,10
Guam,36512,2018,10
Guam,35196,2019,10
Guam,32988,2020,10
Guam,36391,2021,10
Guam,43385,2022,10
Guam,45008,2023,10
Guam,36339,2024,10
Hawaii,272164,2014,10
Hawaii,314274,2015,10
Hawaii,328556,2016,10
Hawaii,327747,2017,10
Hawaii,317217,2018,10
Hawaii,310264,2019,10
Hawaii,384085,2020,10
Hawaii,434575,2021,10
Hawaii,460886,2022,10
Hawaii,471887,2023,10
Hawaii,414790,2024,10
Idaho,288939,2014,10
Idaho,300652,2015,10
Idaho,316600,2016,10
Idaho,321436,2017,10
