State,year,medicaid_expenditure,chip_expenditure,total_expenditure
Alabama,2014,5242500566.0,22560094,5265060660.0
Alabama,2015,5264823220.0,118749571,5383572791.0
Alabama,2016,5435036771.0,109392882,5544429653.0
Alabama,2017,5562217922.0,132129849,5694347771.0
Alabama,2018,5546416592.0,140952319,5687368911.0
Alabama,2019,5880233770.0,148458778,6028692548.0
Alabama,2020,6096166669.0,129373237,6225539906.0
Alabama,2021,6606318076.0,163989798,6770307874.0
Alabama,2022,7166453694.0,192302415,7358756109.0
Alabama,2023,7829656078.0,207197995,8036854073.0
Alabama,2024,8109366769.0,187160241,8296527010.0
Alaska,2014,1412407094.0,28881098,1441288192.0
Alaska,2015,1405373754.0,21427546,1426801300.0
Alaska,2016,1785355973.0,30781323,1816137296.0
Alaska,2017,1961572200.0,29676414,1991248614.0
Alaska,2018,2033389399.0,28879330,2062268729.0
Alaska,2019,2096340139.0,33269893,2129610032.0
Alaska,2020,2019250659.0,27674004,2046924663.0
Alaska,2021,2144763808.0,22909672,2167673480.0
Alaska,2022,2435528905.0,23834044,2459362949.0
Alaska,2023,2530260279.0,23374949,2553635228.0
Alaska,2024,2715115339.0,32297742,2747413081.0
American Samoa,2014,24755108.0,1705008,26460116.0
American Samoa,2015,30156986.0,2135782,32292768.0
American Samoa,2016,32915150.0,2654636,35569786.0
American Samoa,2017,33219896.0,3681451,36901347.0
American Samoa,2018,33648007.0,4796225,38444232.0
American Samoa,2019,52551662.0,2491160,55042822.0
American Samoa,2020,48358967.0,5775810,54134777.0
American Samoa,2021,46973938.0,7036454,54010392.0
American Samoa,2022,68475260.0,8367214,76842474.0
American Samoa,2023,59932077.0,10758371,70690448.0
American Samoa,2024,56924210.0,8233819,65158029.0
Arizona,2014,9184808597.0,50847521,9235656118.0
Arizona,2015,10617725498.0,111199854,10728925352.0
Arizona,2016,11118985133.0,184111656,11303096789.0
Arizona,2017,11823748029.0,175716493,11999464522.0
Arizona,2018,12132120126.0,174284472,12306404598.0
Arizona,2019,13167873159.0,158538980,13326412139.0
Arizona,2020,14380097500.0,154028858,14534126358.0
Arizona,2021,17585138173.0,207260105,17792398278.0
Arizona,2022,20257896179.0,217791183,20475687362.0
