State,year,enrollment_forecast,yoy_pct_change
Alabama,2025,1037261,-4.7
Alabama,2026,1009052,-2.7
Alabama,2027,1001791,-0.72
Alabama,2028,995333,-0.64
Alabama,2029,989664,-0.57
Alabama,2030,984027,-0.57
Alabama,2031,978422,-0.57
Alabama,2032,972849,-0.57
Alabama,2033,967308,-0.57
Alabama,2034,961799,-0.57
Alaska,2025,235156,-3.9
Alaska,2026,230656,-1.9
Alaska,2027,230856,0.087
Alaska,2028,231229,0.16
Alaska,2029,231776,0.24
Alaska,2030,232325,0.24
Alaska,2031,232874,0.24
Alaska,2032,233425,0.24
Alaska,2033,233978,0.24
Alaska,2034,234531,0.24
American Samoa,2025,29300,-5.9
American Samoa,2026,28145,-3.9
American Samoa,2027,27599,-1.9
American Samoa,2028,27084,-1.9
American Samoa,2029,26599,-1.8
American Samoa,2030,26123,-1.8
American Samoa,2031,25655,-1.8
American Samoa,2032,25196,-1.8
American Samoa,2033,24745,-1.8
American Samoa,2034,24302,-1.8
Arizona,2025,2032584,-4.1
Arizona,2026,1989856,-2.1
Arizona,2027,1987823,-0.1
Arizona,2028,1987283,-0.027
Arizona,2029,1988233,0.048
Arizona,2030,1989184,0.048
Arizona,2031,1990136,0.048
Arizona,2032,1991088,0.048
Arizona,2033,1992040,0.048
Arizona,2034,1992993,0.048
Arkansas,2025,760483,-5.3
Arkansas,2026,735200,-3.3
Arkansas,2027,725462,-1.3
Arkansas,2028,716397,-1.2
Arkansas,2029,707983,-1.2
Arkansas,2030,699668,-1.2
Arkansas,2031,691450,-1.2
Arkansas,2032,683329,-1.2
Arkansas,2033,675303,-1.2
Arkansas,2034,667371,-1.2
California,2025,14390396,-3.6
California,2026,14160761,-1.6
California,2027,14218006,0.4
California,2028,14286146,0.48
California,2029,14365327,0.55
California,2030,14444947,0.55
California,2031,14525008,0.55
California,2032,14605512,0.55
California,2033,14686463,0.55
California,2034,14767863,0.55
Colorado,2025,1119641,-5.3
Colorado,2026,1082935,-3.3
Colorado,2027,1069091,-1.3
Colorado,2028,1056225,-1.2
Colorado,2029,1044307,-1.1
Colorado,2030,1032523,-1.1
Colorado,2031,1020873,-1.1
Colorado,2032,1009353,-1.1
Colorado,2033,997964,-1.1
Colorado,2034,986703,-1.1
Connecticut,2025,1042378,-3.9
Connecticut,2026,1022267,-1.9
Connecticut,2027,1022990,0.071
Connecticut,2028,1024480,0.15
Connecticut,2029,1026741,0.22
Connecticut,2030,1029006,0.22
Connecticut,2031,1031277,0.22
Connecticut,2032,1033553,0.22
Connecticut,2033,1035833,0.22
Connecticut,2034,1038119,0.22
Delaware,2025,224590,-4.2
Delaware,2026,219609,-2.2
Delaware,2027,219130,-0.22
Delaware,2028,218817,-0.14
Delaware,2029,218669,-0.068
Delaware,2030,218521,-0.068
Delaware,2031,218372,-0.068
Delaware,2032,218224,-0.068
Delaware,2033,218076,-0.068
Delaware,2034,217928,-0.068
District of Columbia,2025,250652,-5.0
District of Columbia,2026,243174,-3.0
District of Columbia,2027,240784,-0.98
District of Columbia,2028,238597,-0.91
District of Columbia,2029,236609,-0.83
District of Columbia,2030,234638,-0.83
District of Columbia,2031,232683,-0.83
District of Columbia,2032,230744,-0.83
District of Columbia,2033,228822,-0.83
District of Columbia,2034,226916,-0.83
Florida,2025,4018101,-4.2
Florida,2026,3929035,-2.2
Florida,2027,3920524,-0.22
Florida,2028,3914972,-0.14
Florida,2029,3912364,-0.067
Florida,2030,3909758,-0.067
Florida,2031,3907153,-0.067
Florida,2032,3904550,-0.067
Florida,2033,3901949,-0.067
Florida,2034,3899350,-0.067
Georgia,2025,2077704,-4.5
Georgia,2026,2025650,-2.5
Georgia,2027,2015413,-0.51
Georgia,2028,2006739,-0.43
Georgia,2029,1999608,-0.36
Georgia,2030,1992502,-0.36
Georgia,2031,1985421,-0.36
Georgia,2032,1978365,-0.36
Georgia,2033,1971335,-0.36
Georgia,2034,1964329,-0.36
Guam,2025,34609,-4.8
Guam,2026,33653,-2.8
Guam,2027,33396,-0.76
Guam,2028,33167,-0.69
Guam,2029,32964,-0.61
Guam,2030,32762,-0.61
Guam,2031,32562,-0.61
Guam,2032,32363,-0.61
Guam,2033,32165,-0.61
Guam,2034,31968,-0.61
Hawaii,2025,403894,-2.6
Hawaii,2026,401363,-0.63
Hawaii,2027,406874,1.4
Hawaii,2028,412766,1.4
Hawaii,2029,419053,1.5
Hawaii,2030,425436,1.5
Hawaii,2031,431916,1.5
Hawaii,2032,438495,1.5
Hawaii,2033,445174,1.5
Hawaii,2034,451955,1.5
Idaho,2025,334763,-3.6
Idaho,2026,329474,-1.6
Idaho,2027,330859,0.42
Idaho,2028,332498,0.5
Idaho,2029,334394,0.57
Idaho,2030,336301,0.57
Idaho,2031,338219,0.57
Idaho,2032,340148,0.57
Idaho,2033,342088,0.57
Idaho,2034,344038,0.57
Illinois,2025,2802078,-4.3
Illinois,2026,2738341,-2.3
Illinois,2027,2730820,-0.27
Illinois,2028,2725368,-0.2
Illinois,2029,2721971,-0.12
Illinois,2030,2718578,-0.12
Illinois,2031,2715190,-0.12
Illinois,2032,2711805,-0.12
Illinois,2033,2708425,-0.12
Illinois,2034,2705049,-0.12
Indiana,2025,1818537,-2.3
Indiana,2026,1812839,-0.31
Indiana,2027,1843415,1.7
Indiana,2028,1875889,1.8
Indiana,2029,1910342,1.8
Indiana,2030,1945428,1.8
Indiana,2031,1981159,1.8
Indiana,2032,2017545,1.8
Indiana,2033,2054600,1.8
Indiana,2034,2092336,1.8
Iowa,2025,570703,-5.1
Iowa,2026,553285,-3.1
Iowa,2027,547464,-1.1
Iowa,2028,542115,-0.98
Iowa,2029,537225,-0.9
Iowa,2030,532379,-0.9
Iowa,2031,527577,-0.9
Iowa,2032,522818,-0.9
Iowa,2033,518103,-0.9
Iowa,2034,513429,-0.9
Kansas,2025,368249,-4.4
Kansas,2026,359330,-2.4
Kansas,2027,357813,-0.42
Kansas,2028,356571,-0.35
Kansas,2029,355601,-0.27
Kansas,2030,354633,-0.27
Kansas,2031,353668,-0.27
Kansas,2032,352706,-0.27
Kansas,2033,351746,-0.27
Kansas,2034,350789,-0.27
Kentucky,2025,1305630,-4.5
Kentucky,2026,1273372,-2.5
Kentucky,2027,1267378,-0.47
Kentucky,2028,1262363,-0.4
Kentucky,2029,1258314,-0.32
Kentucky,2030,1254278,-0.32
Kentucky,2031,1250256,-0.32
Kentucky,2032,1246246,-0.32
Kentucky,2033,1242249,-0.32
Kentucky,2034,1238265,-0.32
Louisiana,2025,1801957,-3.9
Louisiana,2026,1767922,-1.9
Louisiana,2027,1769888,0.11
Louisiana,2028,1773184,0.19
Louisiana,2029,1777815,0.26
Louisiana,2030,1782459,0.26
Louisiana,2031,1787115,0.26
Louisiana,2032,1791783,0.26
Louisiana,2033,1796463,0.26
Louisiana,2034,1801156,0.26
Maine,2025,372186,-2.5
Maine,2026,370224,-0.53
Maine,2027,375676,1.5
Maine,2028,381489,1.5
Maine,2029,387680,1.6
Maine,2030,393970,1.6
Maine,2031,400363,1.6
Maine,2032,406859,1.6
Maine,2033,413461,1.6
Maine,2034,420170,1.6
Maryland,2025,1335883,-4.1
Maryland,2026,1307733,-2.1
Maryland,2027,1306330,-0.11
Maryland,2028,1305908,-0.032
Maryland,2029,1306466,0.043
Maryland,2030,1307024,0.043
Maryland,2031,1307583,0.043
Maryland,2032,1308141,0.043
Maryland,2033,1308700,0.043
Maryland,2034,1309259,0.043
Massachusetts,2025,1957537,-3.7
Massachusetts,2026,1923904,-1.7
Massachusetts,2027,1929327,0.28
Massachusetts,2028,1936213,0.36
