State,year,expenditure_forecast,yoy_pct_change
Alabama,2025,8365936007,0.84
Alabama,2026,8767908874,4.8
Alabama,2027,9189196038,4.8
Alabama,2028,9630725530,4.8
Alabama,2029,10093469967,4.8
Alabama,2030,10578448701,4.8
Alabama,2031,11086730062,4.8
Alabama,2032,11619433714,4.8
Alabama,2033,12177733117,4.8
Alabama,2034,12762858114,4.8
Alaska,2025,2923278672,6.4
Alaska,2026,3104773161,6.2
Alaska,2027,3297535905,6.2
Alaska,2028,3502266504,6.2
Alaska,2029,3719707994,6.2
Alaska,2030,3950649542,6.2
Alaska,2031,4195929312,6.2
Alaska,2032,4456437506,6.2
Alaska,2033,4733119594,6.2
Alaska,2034,5026979749,6.2
American Samoa,2025,85844247,32.0
American Samoa,2026,94919721,11.0
American Samoa,2027,104954657,11.0
American Samoa,2028,116050488,11.0
American Samoa,2029,128319373,11.0
American Samoa,2030,141885328,11.0
American Samoa,2031,156885479,11.0
American Samoa,2032,173471449,11.0
American Samoa,2033,191810892,11.0
American Samoa,2034,212089185,11.0
Arizona,2025,24188266270,20.0
Arizona,2026,26390616076,9.1
Arizona,2027,28793490575,9.1
Arizona,2028,31415147608,9.1
Arizona,2029,34275507399,9.1
Arizona,2030,37396303913,9.1
Arizona,2031,40801250003,9.1
Arizona,2032,44516217584,9.1
Arizona,2033,48569434217,9.1
Arizona,2034,52991697591,9.1
Arkansas,2025,9122106587,16.0
Arkansas,2026,9590677948,5.1
Arkansas,2027,10083318215,5.1
Arkansas,2028,10601263724,5.1
Arkansas,2029,11145814320,5.1
Arkansas,2030,11718336614,5.1
Arkansas,2031,12320267416,5.1
Arkansas,2032,12953117342,5.1
Arkansas,2033,13618474600,5.1
Arkansas,2034,14318008980,5.1
California,2025,149237312682,-3.1
California,2026,159838121108,7.1
California,2027,171191939202,7.1
California,2028,183352255673,7.1
California,2029,196376358706,7.1
California,2030,210325605852,7.1
California,2031,225265713086,7.1
California,2032,241267064399,7.1
California,2033,258405043388,7.1
California,2034,276760388389,7.1
Colorado,2025,14953929573,7.4
Colorado,2026,16140853587,7.9
Colorado,2027,17421986191,7.9
Colorado,2028,18804804914,7.9
Colorado,2029,20297380790,7.9
Colorado,2030,21908425471,7.9
Colorado,2031,23647342067,7.9
Colorado,2032,25524280034,7.9
Colorado,2033,27550194412,7.9
Colorado,2034,29736909763,7.9
Connecticut,2025,11107263427,2.5
Connecticut,2026,11631714844,4.7
Connecticut,2027,12180929272,4.7
Connecticut,2028,12756075946,4.7
Connecticut,2029,13358379308,4.7
Connecticut,2030,13989121614,4.7
Connecticut,2031,14649645666,4.7
Connecticut,2032,15341357669,4.7
Connecticut,2033,16065730222,4.7
Connecticut,2034,16824305458,4.7
Delaware,2025,3525666537,9.8
Delaware,2026,3769692006,6.9
Delaware,2027,4030607452,6.9
Delaware,2028,4309581900,6.9
Delaware,2029,4607865283,6.9
Delaware,2030,4926794051,6.9
Delaware,2031,5267797154,6.9
Delaware,2032,5632402444,6.9
Delaware,2033,6022243523,6.9
Delaware,2034,6439067061,6.9
District of Columbia,2025,4412991765,5.0
District of Columbia,2026,4677143545,6.0
District of Columbia,2027,4957106857,6.0
District of Columbia,2028,5253828144,6.0
District of Columbia,2029,5568310502,6.0
District of Columbia,2030,5901617067,6.0
District of Columbia,2031,6254874615,6.0
District of Columbia,2032,6629277367,6.0
District of Columbia,2033,7026091027,6.0
District of Columbia,2034,7446657062,6.0
Florida,2025,37059715064,4.4
Florida,2026,39297251320,6.0
Florida,2027,41669882206,6.0
Florida,2028,44185764264,6.0
